AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.0028736817455407566,0.0,0.0,0.0,0.0028736817455407566,0.005747363491081513,0.1550000000000001
0.002906317212000802,0.0,0.0,0.0,0.002906317212000802,0.005812634424001604,0.1560000000000001
0.0029389609810828153,0.0,0.0,0.0,0.0029389609810828153,0.0058779219621656305,0.1570000000000001
0.0029716097047647137,0.0,0.0,0.0,0.0029716097047647137,0.005943219409529427,0.1580000000000001
0.0030042600609462944,0.0,0.0,0.0,0.0030042600609462944,0.006008520121892589,0.1590000000000001
0.003036908753750092,0.0,0.0,0.0,0.003036908753750092,0.006073817507500184,0.16000000000000011
0.0030695525138095116,0.0,0.0,0.0,0.0030695525138095116,0.006139105027619023,0.16100000000000012
0.0031021880985444947,0.0,0.0,0.0,0.0031021880985444947,0.006204376197088989,0.16200000000000012
0.003134812292424958,0.0,0.0,0.0,0.003134812292424958,0.006269624584849916,0.16300000000000012
0.00316742190722226,0.0,0.0,0.0,0.00316742190722226,0.00633484381444452,0.16400000000000012
0.0032000137822489256,0.0,0.0,0.0,0.0032000137822489256,0.006400027564497851,0.16500000000000012
0.0032325847845868726,0.0,0.0,0.0,0.0032325847845868726,0.006465169569173745,0.16600000000000012
0.003265131809304368,0.0,0.0,0.0,0.003265131809304368,0.006530263618608736,0.16700000000000012
0.0032976517796619456,0.0,0.0,0.0,0.0032976517796619456,0.006595303559323891,0.16800000000000012
0.003330141647307511,0.0,0.0,0.0,0.003330141647307511,0.006660283294615022,0.16900000000000012
0.0033625983924608573,0.0,0.0,0.0,0.0033625983924608573,0.0067251967849217146,0.17000000000000012
0.0033950190240878064,0.0,0.0,0.0,0.0033950190240878064,0.006790038048175613,0.17100000000000012
0.003427400580064195,0.0,0.0,0.0,0.003427400580064195,0.00685480116012839,0.17200000000000013
0.0034597401273299133,0.0,0.0,0.0,0.0034597401273299133,0.006919480254659827,0.17300000000000013
0.0034920347620332097,0.0,0.0,0.0,0.0034920347620332097,0.0069840695240664195,0.17400000000000013
0.003524281609665463,0.0,0.0,0.0,0.003524281609665463,0.007048563219330926,0.17500000000000013
0.003556477825186628,0.0,0.0,0.0,0.003556477825186628,0.007112955650373256,0.17600000000000013
0.003588620593141541,0.0,0.0,0.0,0.003588620593141541,0.007177241186283082,0.17700000000000013
0.0036207071277673053,0.0,0.0,0.0,0.0036207071277673053,0.007241414255534611,0.17800000000000013
0.00365273467309192,0.0,0.0,0.0,0.00365273467309192,0.00730546934618384,0.17900000000000013
0.0036847005030243617,0.0,0.0,0.0,0.0036847005030243617,0.007369401006048723,0.18000000000000013
0.0037166019214363026,0.0,0.0,0.0,0.0037166019214363026,0.007433203842872605,0.18100000000000013
0.0037484362622356385,0.0,0.0,0.0,0.0037484362622356385,0.007496872524471277,0.18200000000000013
0.0037802008894320107,0.0,0.0,0.0,0.0037802008894320107,0.0075604017788640215,0.18300000000000013
0.0038118931971945196,0.0,0.0,0.0,0.0038118931971945196,0.007623786394389039,0.18400000000000014
0.0038435106099017602,0.0,0.0,0.0,0.0038435106099017602,0.0076870212198035205,0.18500000000000014
0.0038750505821844015,0.0,0.0,0.0,0.0038750505821844015,0.007750101164368803,0.18600000000000014
0.003906510598960445,0.0,0.0,0.0,0.003906510598960445,0.00781302119792089,0.18700000000000014
0.003937888175463336,0.0,0.0,0.0,0.003937888175463336,0.007875776350926672,0.18800000000000014
0.003969180857263097,0.0,0.0,0.0,0.003969180857263097,0.007938361714526195,0.18900000000000014
0.004000386220280648,0.0,0.0,0.0,0.004000386220280648,0.008000772440561296,0.19000000000000014
0.004031501870795445,0.0,0.0,0.0,0.004031501870795445,0.00806300374159089,0.19100000000000014
0.00406252544544664,0.0,0.0,0.0,0.00406252544544664,0.00812505089089328,0.19200000000000014
0.004093454611227858,0.0,0.0,0.0,0.004093454611227858,0.008186909222455716,0.19300000000000014
0.0041242870654757905,0.0,0.0,0.0,0.0041242870654757905,0.008248574130951581,0.19400000000000014
0.004155020535852726,0.0,0.0,0.0,0.004155020535852726,0.008310041071705451,0.19500000000000015
0.004185652780323172,0.0,0.0,0.0,0.004185652780323172,0.008371305560646344,0.19600000000000015
0.004216181587124712,0.0,0.0,0.0,0.004216181587124712,0.008432363174249424,0.19700000000000015
0.004246604774733227,0.0,0.0,0.0,0.004246604774733227,0.008493209549466455,0.19800000000000015
0.004276920191822645,0.0,0.0,0.0,0.004276920191822645,0.00855384038364529,0.19900000000000015
