empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
853.0,1078.4451565890984,1.0656647100505654,0.00202602480983909,68,0.4,0.4,0.4,1100
882.0,1127.8860172182585,1.0945390528321628,0.002951165140917823,68,0.4,0.4,0.4,1200
907.0,1251.1620522704516,1.2262196413619038,0.0012620488787672146,68,0.4,0.4,0.4,1300
922.0,1433.4154985025625,1.4331480777152015,0.0018741838091682068,68,0.4,0.4,0.4,1400
933.0,1449.9418763626318,1.4364387658336608,0.0018595422558266362,68,0.4,0.4,0.4,1500
100.0,100.0301481533735,0.13195108251274407,0.01863233757950798,69,0.4,0.4,0.4,100
200.0,203.93929016685942,0.2683747500797942,0.03011985922147345,69,0.4,0.4,0.4,200
300.0,308.56344006868005,0.3612555527778674,0.03590674141454806,69,0.4,0.4,0.4,300
400.0,408.62762940962807,0.4217879217822336,0.017808048734381843,69,0.4,0.4,0.4,400
500.0,507.8516688876639,0.5064537614353346,0.015727117505808817,69,0.4,0.4,0.4,500
592.0,618.7541871365788,0.6292980198521027,0.014581927816407946,69,0.4,0.4,0.4,600
675.0,746.044247235019,0.7722284233944237,0.0222790095595242,69,0.4,0.4,0.4,700
734.0,852.7670377522535,0.8870071145819893,0.012481156781884804,69,0.4,0.4,0.4,800
784.0,908.0931134392938,0.9040134152821397,0.009291635370537912,69,0.4,0.4,0.4,900
824.0,998.4421522327026,0.9872217859851842,0.006243475728020741,69,0.4,0.4,0.4,1000
858.0,1062.3665431657032,1.0313685098135497,0.005631969818162345,69,0.4,0.4,0.4,1100
879.0,1159.4489601077755,1.1387189155032875,0.003997067665933469,69,0.4,0.4,0.4,1200
900.0,1225.3870708573468,1.1963615405942902,0.0017896804438269874,69,0.4,0.4,0.4,1300
918.0,1386.223346811601,1.3806042381972043,0.0012490032787434227,69,0.4,0.4,0.4,1400
930.0,1446.3161687663905,1.4357699731204288,0.0009992750287870513,69,0.4,0.4,0.4,1500
100.0,99.17157652304529,0.08396318858044013,0.0199731864821859,70,0.4,0.4,0.4,100
200.0,199.18835675950797,0.17223233877846528,0.016930117201466303,70,0.4,0.4,0.4,200
300.0,296.78090941237775,0.2838119374162303,0.03913085105393468,70,0.4,0.4,0.4,300
400.0,403.3586737151871,0.3987064648453153,0.024045772375482485,70,0.4,0.4,0.4,400
498.0,498.6424251825761,0.49045799410770613,0.016960978562109996,70,0.4,0.4,0.4,500
588.0,591.0037610264707,0.5743949865744795,0.011097140763618113,70,0.4,0.4,0.4,600
665.0,679.2663131463692,0.6643936069107415,0.011703330163201252,70,0.4,0.4,0.4,700
721.0,787.8273545550269,0.7943356761336215,0.006981037161836925,70,0.4,0.4,0.4,800
772.0,868.8980188901782,0.8628406900746888,0.004226009962033346,70,0.4,0.4,0.4,900
816.0,944.8881063667939,0.9148224770610072,0.0040298840193854135,70,0.4,0.4,0.4,1000
851.0,1114.2732261430224,1.1277146033384757,0.0034847860229331026,70,0.4,0.4,0.4,1100
871.0,1182.0144742328368,1.1864361732586801,0.003142578839728698,70,0.4,0.4,0.4,1200
890.0,1207.724965931065,1.1924023419710428,0.00498002152296079,70,0.4,0.4,0.4,1300
914.0,1338.1812034300106,1.3334376259016938,0.0032425998567249645,70,0.4,0.4,0.4,1400
928.0,1402.248188719547,1.3838242227757693,0.005965554708312184,70,0.4,0.4,0.4,1500
100.0,100.83633816041537,0.09508119633247719,0.018517062629445906,71,0.4,0.4,0.4,100
200.0,198.25869390278933,0.1892242606142427,0.03749059888605838,71,0.4,0.4,0.4,200
300.0,302.1535832322481,0.32289145376399203,0.020482011937402265,71,0.4,0.4,0.4,300
400.0,409.5890790614206,0.43291336331767083,0.02480144924742078,71,0.4,0.4,0.4,400
497.0,514.2159714376053,0.5384773439568051,0.029357197171709072,71,0.4,0.4,0.4,500
587.0,639.102467185058,0.6961258672903246,0.029193194428474175,71,0.4,0.4,0.4,600
665.0,759.3764503134233,0.8268734217904687,0.022615624177793836,71,0.4,0.4,0.4,700
727.0,833.3362477422157,0.8709224447114015,0.007069511901283377,71,0.4,0.4,0.4,800
777.0,919.308924502833,0.9403372315650385,0.006402136099088482,71,0.4,0.4,0.4,900
818.0,985.6619027769424,0.9837822363541369,0.005712229436463542,71,0.4,0.4,0.4,1000
859.0,1084.5017347333983,1.0672774005278969,0.004277582840860729,71,0.4,0.4,0.4,1100
885.0,1177.976402574984,1.1634742350393175,0.001935309055879173,71,0.4,0.4,0.4,1200
